time,V(N001),V(N002),I(V1),I(R1),I(D1)
2.68e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.69e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.7e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.71e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.72e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.73e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.74e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.75e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.76e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.77e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.78e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.79e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.8e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.81e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.82e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.83e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.84e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.85e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.86e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.87e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.88e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.89e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.9e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.91e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.92e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.93e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.94e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.95e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.96e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.97e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.98e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
2.99e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.01e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.02e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.03e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.04e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.05e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.06e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.07e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.08e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.09e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.1e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.11e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.12e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.13e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.14e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.15e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.16e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.17e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.18e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.19e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.2e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.21e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.22e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.23e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.24e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.25e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.26e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.27e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.28e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.29e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.3e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.31e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.32e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.33e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.34e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.35e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.36e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.37e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.38e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.39e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.4e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.41e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.42e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.43e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.44e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.45e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.46e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.47e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.48e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.49e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.5e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.51e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.52e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.53e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.54e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.55e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.56e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.57e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.58e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.59e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.6e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.61e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.62e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.63e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.64e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.65e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.66e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.67e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.68e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.69e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.7e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.71e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.72e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.73e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.74e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.75e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.76e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.77e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.78e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.79e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.8e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.81e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.82e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.83e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.84e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.85e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.86e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.87e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.88e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.89e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.9e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.91e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.92e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.93e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.94e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.95e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.96e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.97e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.98e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
3.99e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
4e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.01e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.02e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.03e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.04e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.05e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.06e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.07e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
4.08e-05,2,0.640882,-0.000135912,-0.000135912,0.000135912
