time,V(N001),I(V1),I(R1),I(D1)
2.61e-05,2.16326,-3.79861e+22,-0.000216326,3.79861e+22
2.62e-05,2.16388,-3.89397e+22,-0.000216388,3.89397e+22
2.63e-05,2.1645,-3.99171e+22,-0.00021645,3.99171e+22
2.64e-05,2.16512,-4.0919e+22,-0.000216512,4.0919e+22
2.65e-05,2.16574,-4.19459e+22,-0.000216574,4.19459e+22
2.66e-05,2.16636,-4.29985e+22,-0.000216636,4.29985e+22
2.67e-05,2.16698,-4.40774e+22,-0.000216698,4.40774e+22
2.68e-05,2.16759,-4.51832e+22,-0.000216759,4.51832e+22
2.69e-05,2.16821,-4.63166e+22,-0.000216821,4.63166e+22
2.7e-05,2.16883,-4.74784e+22,-0.000216883,4.74784e+22
2.71e-05,2.16945,-4.86691e+22,-0.000216945,4.86691e+22
2.72e-05,2.17007,-4.98896e+22,-0.000217007,4.98896e+22
2.73e-05,2.17069,-5.11406e+22,-0.000217069,5.11406e+22
2.74e-05,2.17131,-5.24228e+22,-0.000217131,5.24228e+22
2.75e-05,2.17193,-5.37369e+22,-0.000217193,5.37369e+22
2.76e-05,2.17255,-5.50839e+22,-0.000217255,5.50839e+22
2.77e-05,2.17317,-5.64645e+22,-0.000217317,5.64645e+22
2.78e-05,2.17379,-5.78795e+22,-0.000217379,5.78795e+22
2.79e-05,2.1744,-5.93299e+22,-0.00021744,5.93299e+22
2.8e-05,2.17502,-6.08164e+22,-0.000217502,6.08164e+22
2.81e-05,2.17564,-6.23399e+22,-0.000217564,6.23399e+22
2.82e-05,2.17626,-6.39015e+22,-0.000217626,6.39015e+22
2.83e-05,2.17688,-6.5502e+22,-0.000217688,6.5502e+22
2.84e-05,2.1775,-6.71424e+22,-0.00021775,6.71424e+22
2.85e-05,2.17812,-6.88237e+22,-0.000217812,6.88237e+22
2.86e-05,2.17873,-7.05469e+22,-0.000217873,7.05469e+22
2.87e-05,2.17935,-7.2313e+22,-0.000217935,7.2313e+22
2.88e-05,2.17997,-7.41232e+22,-0.000217997,7.41232e+22
2.89e-05,2.18059,-7.59784e+22,-0.000218059,7.59784e+22
