time,V(N001),V(N002),V(N003),V(N004),I(V1),I(V2),I(V3),I(R1),I(R2),I(R3),I(R4)
0.000173,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000174,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000175,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000176,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000177,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000178,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000179,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.00018,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000181,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000182,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000183,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000184,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000185,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000186,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000187,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000188,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000189,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.00019,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000191,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000192,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000193,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000194,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000195,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000196,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000197,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000198,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000199,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.0002,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000201,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000202,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000203,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000204,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000205,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000206,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000207,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000208,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000209,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.00021,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000211,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000212,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
0.000213,-0.5,1.5,-1.5,0.5,0.0005,0.0005,0.002,-0.001,0.0005,0.002,-0.0005
