time,V(N001),V(N002),V(N003),I(V1),I(V2),I(R1),I(R2),I(R3)
0.000195,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000196,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000197,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000198,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000199,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.0002,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000201,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000202,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000203,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000204,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000205,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000206,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000207,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000208,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000209,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00021,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000211,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000212,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000213,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000214,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000215,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000216,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000217,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000218,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000219,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.00022,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000221,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000222,2,-1,0,-0.0003,0,-0.0003,0,0.0001
0.000223,2,-1,0,-0.0003,0,-0.0003,0,0.0001
