time,V(N001),V(N002),V(N003),I(V1),I(R1),I(I1),I(R2),I(R3)
0.000253,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000254,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000255,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000256,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000257,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000258,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000259,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00026,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000261,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000262,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000263,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000264,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000265,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000266,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000267,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000268,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000269,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00027,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000271,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000272,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000273,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000274,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000275,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000276,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000277,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000278,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000279,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00028,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000281,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000282,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000283,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000284,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000285,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000286,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000287,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000288,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000289,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00029,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000291,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000292,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000293,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000294,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000295,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000296,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000297,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000298,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000299,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.0003,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000301,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000302,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000303,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000304,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000305,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000306,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000307,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000308,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000309,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.00031,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000311,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000312,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
0.000313,1,-9.5,20,-0.00105,-0.00105,0.002,-0.002,0.00095
